iter	Passed	Remaining
1591	68605	17582
1592	68647	17539
1593	68693	17496
1594	68735	17453
1595	68777	17409
1596	68819	17366
1597	68862	17323
1598	68905	17280
1599	68948	17237
1600	68993	17194
1601	69036	17151
1602	69077	17107
1603	69122	17065
1604	69169	17023
1605	69210	16979
1606	69255	16936
1607	69298	16893
1608	69340	16850
1609	69383	16807
1610	69424	16763
1611	69469	16720
1612	69510	16677
1613	69554	16634
1614	69600	16592
1615	69643	16548
1616	69688	16506
1617	69729	16462
1618	69775	16420
1619	69819	16377
1620	69864	16334
1621	69907	16291
1622	69951	16248
1623	69994	16205
1624	70039	16162
1625	70084	16120
1626	70125	16076
1627	70171	16034
1628	70215	15991
1629	70259	15948
1630	70304	15905
1631	70345	15862
1632	70392	15819
1633	70436	15777
1634	70485	15735
1635	70528	15692
1636	70576	15650
1637	70621	15607
1638	70666	15564
1639	70712	15522
1640	70756	15479
1641	70804	15437
1642	70849	15394
1643	70894	15351
1644	70938	15308
1645	70987	15267
1646	71032	15224
1647	71077	15181
1648	71125	15139
1649	71171	15096
1650	71216	15054
1651	71259	15011
1652	71306	14968
1653	71351	14925
1654	71396	14883
1655	71440	14840
1656	71492	14798
1657	71537	14756
1658	71587	14714
1659	71632	14671
